name,url
Economic Recovery Indicators ,https://bcstats.shinyapps.io/Economic-Indicators
Household Projections ,https://bcstats.shinyapps.io/hsdProjApp
Population Estimates ,https://bcstats.shinyapps.io/popApp
Country Trade Profiles ,https://bcstats.shinyapps.io/CountryTradeApp
Labour Market Statistics ,https://bcstats.shinyapps.io/LFS_app/
Interprovincial Migration ,https://bcstats.shinyapps.io/interprovincial_migration_bc/
Small Business Profile ,https://bcstats.shinyapps.io/bc-sb-profile-2023/
